issue,title,primary finding,validator comment,status,root cause (URL),size,robotLabel
validation-60,Lack of Slippage Protection in CDPVault's Deposit and Withdrawal Function, ,insufficient proof,Unsatisfactory,,115,:robot:_00_group
validation-61,Payable Function Without Corresponding Withdraw Mechanism, ,does not point out the root cause - not validating or duping ,Unsatisfactory,,50,:robot:_07_group
validation-62,Potential for Inflated Deposit Records Due to Lack of Balance Verification in Deposit Function, ,OOS - https://github.com/code-423n4/2024-10-loopfi/blob/main/4naly3er-report.md#M-1,Unsatisfactory,,145,:robot:_05_group
validation-63,Lack of Role-Based Access Control (RBAC) in Vault Management, ,insufficient proof,Unsatisfactory,,27,:robot:_primary
validation-64,"`_distributeRewardsPrivate` wrongly set `unserIndex = 1` on first interaction, leading to erroneous reward distribution",validation-72,,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/pendle-rewards/RewardManagerAbstract.sol#L18-L19,108,:robot:_primary
validation-65,`PoolV3:: repayCreditAccount` is invalidly handling loss when `CDPVault:: liquidatePositionBadDebt` is called,findings-2,,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/CDPVault.sol#L702,58,:robot:_27_group
validation-66,"Liquidity pool is not adjusting the interest rate on healthy repayment profit, which results in incorrect rates",validation-66,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/PoolV3.sol#L610,148,:robot:_primary
validation-67,Push Model in moveFunds, ,spam,Unsatisfactory,,25,:robot:_primary
validation-68,Use of Push Pattern Instead of Pull for Fund Transfers in  PoolV3, ,insufficient proof,Unsatisfactory,,26,:robot:_primary
validation-69,Some residual recipients would now have their residues stuck in `SwapAction` after swap,validation-69,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/proxy/SwapAction.sol#L36-L50,122,:robot:_primary
validation-7,Updating ‍`cooldownAmount` Without Reducing `amount`, ,insufficient proof,Unsatisfactory,,63,:robot:_09_group
validation-70,Lack of Circuit Breaker Pattern for Critical Operations, ,spam,Unsatisfactory,,45,:robot:_primary
validation-71,Core interactions would still be accessible after protocol pause,validation-71,primary - I have doubts on this as the protocol seems to have opted one way implementation only: https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/CDPVault.sol#L438,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/CDPVault.sol#L240-L304,89,:robot:_primary
validation-72, Accumulated rewards would be frozen when the token's index is `0`,validation-72,primary,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/pendle-rewards/RewardManagerAbstract.sol#L18-L19,135,:robot:_primary
validation-73,ff-by-One Timestamp Vulnerability in Unstake Function, ,insufficient proof,Unsatisfactory,,102,:robot:_primary
validation-74,Address Comparison Vulnerability in Token Operations, ,insufficient proof,Unsatisfactory,,74,:robot:_primary
validation-76,Front-running Vulnerability in `_updateBaseInterest()` Function, ,insufficient proof,Unsatisfactory,,51,:robot:_primary
validation-77,Division by Zero and Withdraw Fee Boundaries in `_amountWithWithdrawalFee`, ,OOS - https://github.com/code-423n4/2024-10-loopfi/blob/main/4naly3er-report.md#l-10-division-by-zero-not-prevented,Unsatisfactory,,42,:robot:_primary
validation-80,Users can manipulate their position in a paused vault, ,insufficient proof,Unsatisfactory,,27,:robot:_16_group
validation-81,Users can repay more than they owe and lose funds, ,insufficient proof,Unsatisfactory,,21,:robot:_primary
validation-82,"Lack of access control ""FUNDS_ADMINISTRATOR_ROLE"" in _moveFunds function", ,invalid,Unsatisfactory,,60,:robot:_primary
validation-83,Uninitialized Mapping Access Vulnerability Allows Exploitation of Reward Distribution Logic, ,insufficient proof,Unsatisfactory,,68,:robot:_06_group
validation-84," BalancerOracle Fails to Validate Token Addresses, Resulting in Incorrect Prices for Any Token", ,insufficient proof,Unsatisfactory,,35,:robot:_primary
validation-85,Mismatch in Scaling of deltaCollateral in modifyCollateralAndDebt() Function, ,insufficient proof,Unsatisfactory,,34,:robot:_primary
validation-86,Inconsistent Calculation of Liquidation Penalty Leading to Potential Over-Penalization or Under-Penalization, ,insufficient proof,Unsatisfactory,,26,:robot:_primary
validation-87,"Treasury contract allows unrestricted access to release funds, enabling premature depletion",validation-87,"primary - could be intended OR missed,  but not overriding the function is def a gap for instance",Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/main/src/Treasury.sol#L12,60,:robot:_primary
validation-88,Issue is not fixed: Token array not sorted in PoolAction.transferAndJoin, ,"OOS - As per C4 Team's post here: https://discord.com/channels/810916927919620096/1293582092533497946/1296431424819298365 , the issue is not mitigated",Unsatisfactory,,48,:robot:_primary
validation-89,Reward calculation can allow artificial inflation of reward, ,"any balance change will be assumed as accrued, so this is the intended mechanism, but the attacker loses their tokens by this action. the only harm would be to the attacker in this case.",Unsatisfactory,,57,:robot:_06_group
validation-90,Malicious users can cause reward loss for position owners,validation-12,seems a bit different context tho,Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/pendle-rewards/RewardManager.sol#L74,78,:robot:_06_group
validation-55,Lack of Revert on Zero Balance in Treasury Contract's _moveFunds Function,,inflated due to inssuficient proof of the issue - does not hold the bar to be an audit report,Unsatisfactory,,85,:robot:_primary
validation-14,Incompatibility Between Solidity Version Pragma and Custom Error Syntax in Locking.sol,validation-14,"primary - should definitely be in a QA report,  holds the bar to be an audit report. ",Satisfactory,https://github.com/code-423n4/2024-10-loopfi/blob/d219f0132005b00a68f505edc22b34f9a8b49766/src/Locking.sol#L13-L16,87,:robot:_primary
validation-9,Flashlender Allows Unauthorized Access to flashLoan and creditFlashLoan Functions,,this is the intended mechanism,Unsatisfactory,,91,
validation-18,CDPVault has getRewards function that is unchecked transfer,,insufficient proof - the POC does not work,Unsatisfactory,,92,:robot:_primary
validation-21,"withdraw() in the Locking.sol contract emits an event transferring of 0 tokens, which results in an erroneous event emission",,inflated and does not hold the bar to be an audit report. ,Unsatisfactory,,128,:robot:_primary
